[Thu Jan 27 15:59:56.962783 2022] [proxy_fcgi:error] [pid 18324:tid 1208] [client 127.0.0.1:54241] AH01067: Failed to read FastCGI header, referer: http://wordpress.local/wp-cron.php?doing_wp_cron=1643313596.7767040729522705078125
[Thu Jan 27 15:59:56.963285 2022] [proxy_fcgi:error] [pid 18324:tid 1208] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:54241] AH01075: Error dispatching request to :10005: , referer: http://wordpress.local/wp-cron.php?doing_wp_cron=1643313596.7767040729522705078125
[Wed Feb 02 12:31:04.175868 2022] [proxy_fcgi:error] [pid 21732:tid 1152] [client 127.0.0.1:63185] AH01067: Failed to read FastCGI header, referer: http://wordpress.local/wp-admin/post.php?post=61&action=edit
[Wed Feb 02 12:31:04.175868 2022] [proxy_fcgi:error] [pid 21732:tid 1212] [client 127.0.0.1:63188] AH01067: Failed to read FastCGI header, referer: http://wordpress.local/wp-admin/post.php?post=61&action=edit
[Wed Feb 02 12:31:04.176368 2022] [proxy_fcgi:error] [pid 21732:tid 1212] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:63188] AH01075: Error dispatching request to :10005: , referer: http://wordpress.local/wp-admin/post.php?post=61&action=edit
[Wed Feb 02 12:31:04.176368 2022] [proxy_fcgi:error] [pid 21732:tid 1152] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:63185] AH01075: Error dispatching request to :10005: , referer: http://wordpress.local/wp-admin/post.php?post=61&action=edit
[Thu Feb 03 16:03:14.229325 2022] [proxy_fcgi:error] [pid 2832:tid 1144] [client 127.0.0.1:60603] AH01067: Failed to read FastCGI header, referer: http://wordpress.local/wp-admin/edit.php?post_type=post
[Thu Feb 03 16:03:14.229827 2022] [proxy_fcgi:error] [pid 2832:tid 1144] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:60603] AH01075: Error dispatching request to :10005: , referer: http://wordpress.local/wp-admin/edit.php?post_type=post
[Mon Feb 07 11:57:37.075462 2022] [proxy_fcgi:error] [pid 19736:tid 1184] [client 127.0.0.1:52716] AH01067: Failed to read FastCGI header, referer: http://wordpress.local/wp-cron.php?doing_wp_cron=1644249456.9373540878295898437500
[Mon Feb 07 11:57:37.075963 2022] [proxy_fcgi:error] [pid 19736:tid 1184] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:52716] AH01075: Error dispatching request to :10005: , referer: http://wordpress.local/wp-cron.php?doing_wp_cron=1644249456.9373540878295898437500
[Thu Feb 10 17:20:11.668512 2022] [proxy_fcgi:error] [pid 20652:tid 1252] [client 127.0.0.1:59525] AH01067: Failed to read FastCGI header, referer: http://wordpress.local/wp-admin/edit.php?post_type=event&page=events-manager-options
[Thu Feb 10 17:20:11.668512 2022] [proxy_fcgi:error] [pid 20652:tid 1252] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:59525] AH01075: Error dispatching request to :10005: , referer: http://wordpress.local/wp-admin/edit.php?post_type=event&page=events-manager-options
[Thu Feb 10 19:18:18.512342 2022] [proxy_fcgi:error] [pid 20652:tid 780] [client 127.0.0.1:56673] AH01067: Failed to read FastCGI header, referer: http://wordpress.local/wp-admin/post.php?post=112&action=edit
[Thu Feb 10 19:18:18.512342 2022] [proxy_fcgi:error] [pid 20652:tid 780] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:56673] AH01075: Error dispatching request to :10005: , referer: http://wordpress.local/wp-admin/post.php?post=112&action=edit
[Thu Feb 17 13:36:30.744423 2022] [proxy_fcgi:error] [pid 1864:tid 1212] [client 127.0.0.1:55217] AH01067: Failed to read FastCGI header, referer: http://wordpress.local/wp-admin/customize.php?url=http%3A%2F%2Fwordpress.local%2Fcontactez-nous%2F
[Thu Feb 17 13:36:30.744924 2022] [proxy_fcgi:error] [pid 1864:tid 1212] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:55217] AH01075: Error dispatching request to :10005: , referer: http://wordpress.local/wp-admin/customize.php?url=http%3A%2F%2Fwordpress.local%2Fcontactez-nous%2F
[Fri Feb 25 08:10:14.297293 2022] [proxy_fcgi:error] [pid 7584:tid 1168] (70007)The timeout specified has expired: [client 127.0.0.1:55167] AH01075: Error dispatching request to :10005: (polling), referer: http://wordpress.local/wp-admin/update-core.php
[Fri Feb 25 08:10:14.297293 2022] [proxy_fcgi:error] [pid 7584:tid 1176] (70007)The timeout specified has expired: [client 127.0.0.1:55194] AH01075: Error dispatching request to :10005: (polling), referer: http://wordpress.local/wp-admin/upgrade.php?step=upgrade_db
[Thu Mar 03 17:15:20.504500 2022] [proxy_fcgi:error] [pid 5876:tid 1204] [client 127.0.0.1:60765] AH01067: Failed to read FastCGI header, referer: http://wordpress.local/wp-cron.php?doing_wp_cron=1646342120.4188640117645263671875
[Thu Mar 03 17:15:20.504500 2022] [proxy_fcgi:error] [pid 5876:tid 1204] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:60765] AH01075: Error dispatching request to :10005: , referer: http://wordpress.local/wp-cron.php?doing_wp_cron=1646342120.4188640117645263671875
